DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
156.1255E-6	-156.2128E-6	2.4671E-9	30.0000E+0	7.4779E-6	95.5245E-6		366.0854E-6	-366.1705E-6	2.3025E-9	30.0000E+0	16.9987E-6	271.2848E-6	
163.9675E-6	-164.0540E-6	2.5228E-9	31.0000E+0	7.8420E-6	107.3881E-6		384.0221E-6	-384.1071E-6	2.4444E-9	31.0000E+0	17.9366E-6	294.8294E-6	
171.9849E-6	-172.0715E-6	2.6125E-9	32.0000E+0	8.0174E-6	119.2517E-6		401.8035E-6	-401.8885E-6	2.5156E-9	32.0000E+0	17.7813E-6	318.3739E-6	
180.0799E-6	-180.1662E-6	2.6910E-9	33.0000E+0	8.0949E-6	131.1153E-6		420.0788E-6	-420.1629E-6	2.6556E-9	33.0000E+0	18.2752E-6	341.9185E-6	
188.2959E-6	-188.3821E-6	2.7179E-9	34.0000E+0	8.2159E-6	142.9789E-6		438.2510E-6	-438.3343E-6	2.7784E-9	34.0000E+0	18.1722E-6	365.4631E-6	
196.5718E-6	-196.6573E-6	2.7713E-9	35.0000E+0	8.2758E-6	154.8425E-6		456.4512E-6	-456.5339E-6	2.8349E-9	35.0000E+0	18.2001E-6	389.0076E-6	
205.3754E-6	-205.4604E-6	2.8509E-9	36.0000E+0	8.8035E-6	166.7062E-6		474.8549E-6	-474.9380E-6	2.9085E-9	36.0000E+0	18.4037E-6	412.5522E-6	
214.1308E-6	-214.2155E-6	2.9446E-9	37.0000E+0	8.7554E-6	178.5698E-6		494.4040E-6	-494.4878E-6	2.9725E-9	37.0000E+0	19.5491E-6	436.0967E-6	
223.0756E-6	-223.1599E-6	2.9952E-9	38.0000E+0	8.9447E-6	190.4334E-6		512.3541E-6	-513.2480E-6	3.0389E-9	38.0000E+0	17.9501E-6	459.6413E-6	
232.1575E-6	-232.2422E-6	3.1161E-9	39.0000E+0	9.0819E-6	202.2970E-6		531.6609E-6	-532.5523E-6	3.1351E-9	39.0000E+0	19.3067E-6	483.1859E-6	
241.3211E-6	-241.4051E-6	3.2526E-9	40.0000E+0	9.1636E-6	214.1606E-6		552.0872E-6	-552.9853E-6	3.2170E-9	40.0000E+0	20.4263E-6	506.7304E-6	
250.3967E-6	-250.4814E-6	3.3586E-9	41.0000E+0	9.0755E-6	226.0242E-6		572.1382E-6	-573.0299E-6	3.2442E-9	41.0000E+0	20.0509E-6	530.2750E-6	
259.9267E-6	-260.0113E-6	3.4585E-9	42.0000E+0	9.5299E-6	237.8878E-6		591.9010E-6	-592.7928E-6	3.2679E-9	42.0000E+0	19.7628E-6	553.8196E-6	
269.3789E-6	-269.4627E-6	3.5389E-9	43.0000E+0	9.4521E-6	249.7514E-6		613.2781E-6	-614.1670E-6	3.3550E-9	43.0000E+0	21.3770E-6	577.3641E-6	
