DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
168.5809E-6	-168.6715E-6	3.5487E-9	49.0000E+0	4.4288E-6	167.5232E-6		337.2577E-6	-337.3494E-6	3.6347E-9	49.0000E+0	9.0722E-6	335.6073E-6	
163.9966E-6	-164.0866E-6	3.5432E-9	48.0000E+0	4.5843E-6	162.7029E-6		328.1218E-6	-328.2125E-6	3.5429E-9	48.0000E+0	9.1359E-6	326.0357E-6	
159.5012E-6	-159.5913E-6	3.5004E-9	47.0000E+0	4.4953E-6	157.8826E-6		319.2486E-6	-319.3398E-6	3.3832E-9	47.0000E+0	8.8732E-6	316.4642E-6	
155.0518E-6	-155.1416E-6	3.3500E-9	46.0000E+0	4.4494E-6	153.0622E-6		310.2200E-6	-310.3093E-6	3.1892E-9	46.0000E+0	9.0286E-6	306.8926E-6	
150.6656E-6	-150.7558E-6	3.2409E-9	45.0000E+0	4.3861E-6	148.2419E-6		301.6022E-6	-301.6920E-6	3.0769E-9	45.0000E+0	8.6177E-6	297.3211E-6	
146.2698E-6	-146.3599E-6	3.0737E-9	44.0000E+0	4.3958E-6	143.4215E-6		292.8797E-6	-292.9714E-6	3.1022E-9	44.0000E+0	8.7225E-6	287.7495E-6	
142.0406E-6	-142.1315E-6	2.8663E-9	43.0000E+0	4.2292E-6	138.6012E-6		284.3537E-6	-284.4445E-6	3.0787E-9	43.0000E+0	8.5260E-6	278.1780E-6	
137.8330E-6	-137.9239E-6	2.8742E-9	42.0000E+0	4.2075E-6	133.7808E-6		275.7283E-6	-275.8204E-6	2.9967E-9	42.0000E+0	8.6254E-6	268.6064E-6	
133.5974E-6	-133.6899E-6	2.8380E-9	41.0000E+0	4.2356E-6	128.9605E-6		267.2932E-6	-267.3851E-6	2.9308E-9	41.0000E+0	8.4350E-6	259.0349E-6	
129.4276E-6	-129.5190E-6	2.8223E-9	40.0000E+0	4.1697E-6	124.1401E-6		258.7455E-6	-258.8369E-6	2.8419E-9	40.0000E+0	8.5476E-6	249.4633E-6	
125.3821E-6	-125.4737E-6	2.7579E-9	39.0000E+0	4.0455E-6	119.3198E-6		250.5283E-6	-250.6205E-6	2.6689E-9	39.0000E+0	8.2172E-6	239.8918E-6	
121.2620E-6	-121.3543E-6	2.6463E-9	38.0000E+0	4.1201E-6	114.4995E-6		242.4156E-6	-242.5083E-6	2.5144E-9	38.0000E+0	8.1126E-6	230.3202E-6	
117.1781E-6	-117.2706E-6	2.4987E-9	37.0000E+0	4.0838E-6	109.6791E-6		234.3960E-6	-234.4886E-6	2.4395E-9	37.0000E+0	8.0196E-6	220.7487E-6	
113.1913E-6	-113.2838E-6	2.4059E-9	36.0000E+0	3.9867E-6	104.8588E-6		226.3611E-6	-226.4528E-6	2.3657E-9	36.0000E+0	8.0348E-6	211.1771E-6	
109.2912E-6	-109.3836E-6	2.2409E-9	35.0000E+0	3.9000E-6	100.0384E-6		218.3731E-6	-218.4656E-6	2.2653E-9	35.0000E+0	7.9880E-6	201.6056E-6	
105.3906E-6	-105.4834E-6	2.1912E-9	34.0000E+0	3.9005E-6	95.2180E-6		210.6320E-6	-210.7250E-6	2.2792E-9	34.0000E+0	7.7410E-6	192.0340E-6	
101.5614E-6	-101.6537E-6	2.1773E-9	33.0000E+0	3.8292E-6	90.3977E-6		202.9180E-6	-203.0111E-6	2.2517E-9	33.0000E+0	7.7139E-6	182.4624E-6	
97.8747E-6	-97.9681E-6	2.1121E-9	32.0000E+0	3.6866E-6	85.5774E-6		195.2544E-6	-195.3475E-6	2.1310E-9	32.0000E+0	7.6635E-6	172.8909E-6	
94.1347E-6	-94.2276E-6	2.0275E-9	31.0000E+0	3.7399E-6	80.7570E-6		187.8267E-6	-187.9197E-6	1.9929E-9	31.0000E+0	7.4277E-6	163.3193E-6	
90.4376E-6	-90.5307E-6	1.9135E-9	30.0000E+0	3.6971E-6	75.9367E-6		180.3837E-6	-180.4775E-6	1.8658E-9	30.0000E+0	7.4430E-6	153.7478E-6	
86.8263E-6	-86.9193E-6	1.8377E-9	29.0000E+0	3.6112E-6	71.1163E-6		172.9932E-6	-173.0886E-6	1.7656E-9	29.0000E+0	7.3904E-6	144.1762E-6	
83.2973E-6	-83.3902E-6	1.7232E-9	28.0000E+0	3.5290E-6	66.2960E-6		165.9587E-6	-166.0533E-6	1.6761E-9	28.0000E+0	7.0345E-6	134.6047E-6	
