Time(1),DrainI(1),DrainV(1),Time(1),SourceI(1),SourceV(1),GateI(1),GateV(1),,,,,,,,,Time(3),DrainI(3),DrainV(3),Time(3),SourceI(3),SourceV(3),GateI(3),GateV(3),,,,,,,,,Time(5),DrainI(5),DrainV(5),Time(5),SourceI(5),SourceV(5),GateI(5),GateV(5),Time(2),DrainI(2),DrainV(2),Time(2),SourceI(2),SourceV(2),GateI(2),GateV(2)
1.7799,0.0002233145,1.7,1.7799,-0.0002233272,-9.064679E-07,-3.8952E-09,0,,,,,,,,,13.6935,0.0005163462,1.7,13.6937,-0.0005165451,-2.09749E-05,8.0497E-09,10,,,,,,,,,26.1858,0.0007798806,1.7,26.1862,-0.0007801189,-1.09407E-05,1.12141E-08,20,5.0429,0.0009543355,1.7,5.043,-0.0009547167,-2.09749E-05,1.952585E-07,30
1.8078,0.0002292632,1.75,1.8079,-0.0002292776,4.1106E-06,1.30902E-08,0,,,,,,,,,13.7215,0.0005286746,1.75,13.7217,-0.0005287768,4.1106E-06,1.52375E-08,10,,,,,,,,,26.2063,0.0007967722,1.75,26.2067,-0.0007969659,1.9162E-05,-8.6248E-09,20,5.0561,0.0009714034,1.75,5.0562,-0.0009717402,-1.59578E-05,2.351656E-07,30
1.8283,0.0002361197,1.8,1.8283,-0.0002361285,-2.09749E-05,9.4137E-09,0,,,,,,,,,13.742,0.0005414315,1.8,13.7423,-0.0005415633,4.1106E-06,-5.821034E-10,10,,,,,,,,,26.2268,0.0008129075,1.8,26.2272,-0.0008129553,1.41448E-05,-8.9826E-09,20,5.0694,0.0009883705,1.8,5.0695,-0.0009887636,3.42134E-05,2.447085E-07,30
1.8487,0.0002428199,1.85,1.8487,-0.0002428583,-9.064679E-07,-9.9907E-09,0,,,,,,,,,13.77,0.0005539616,1.85,13.7702,-0.0005541229,9.1277E-06,1.53778E-08,10,,,,,,,,,26.2473,0.0008288663,1.85,26.2477,-0.0008290204,1.9162E-05,9.4796E-09,20,5.0826,0.0010048,1.85,5.0827,-0.0010051,2.41791E-05,2.413672E-07,30
1.8692,0.0002485896,1.9,1.8692,-0.000248617,9.1277E-06,-1.17129E-08,0,,,,,,,,,13.7905,0.0005667437,1.9,13.7907,-0.0005669598,4.1106E-06,8.6064E-09,10,,,,,,,,,26.2678,0.000844573,1.9,26.2682,-0.000844682,1.41448E-05,1.51256E-08,20,5.0959,0.0010204,1.9,5.096,-0.0010207,4.1106E-06,2.414487E-07,30
1.8896,0.0002549342,1.95,1.8896,-0.0002549533,-2.09749E-05,-4.2024E-09,0,,,,,,,,,13.811,0.0005787696,1.95,13.8112,-0.0005790402,-2.09749E-05,-1.13009E-08,10,,,,,,,,,26.2883,0.0008598762,1.95,26.2887,-0.0008602175,2.91962E-05,3.9037E-09,20,5.1091,0.0010357,1.95,5.1092,-0.001036,1.9162E-05,1.935662E-07,30
1.9176,0.0002617075,2,1.9176,-0.0002617285,-1.09407E-05,-1.46764E-08,0,,,,,,,,,13.8315,0.0005905937,2,13.8317,-0.0005907422,1.41448E-05,-8.8528E-09,10,,,,,,,,,26.3164,0.0008743475,2,26.3168,-0.0008744415,-1.09407E-05,1.70838E-08,20,5.1224,0.0010502,2,5.1224,-0.0010505,-2.09749E-05,2.303535E-07,30
1.9381,0.0002673864,2.05,1.9381,-0.0002674166,-2.09749E-05,4.1199E-09,0,,,,,,,,,13.852,0.000602317,2.05,13.8522,-0.0006024191,-2.59921E-05,1.04955E-08,10,,,,,,,,,26.3369,0.0008894239,2.05,26.3373,-0.0008895483,-5.9236E-06,-3.534E-09,20,5.1356,0.0010647,2.05,5.1357,-0.0010652,-5.9236E-06,2.504674E-07,30
1.966,0.0002743161,2.1,1.9661,-0.000274328,-5.9236E-06,-1.28374E-08,0,,,,,,,,,13.8724,0.0006143428,2.1,13.8727,-0.0006145751,4.1106E-06,1.30802E-08,10,,,,,,,,,26.3649,0.0009031137,2.1,26.3653,-0.0009031671,9.1277E-06,1.42507E-08,20,5.1488,0.0010787,2.1,5.1489,-0.0010792,4.1106E-06,2.312467E-07,30
1.9865,0.0002801589,2.15,1.9865,-0.0002801725,-2.59921E-05,-9.5971E-09,0,,,,,,,,,13.8929,0.0006256123,2.15,13.8931,-0.0006257728,-1.59578E-05,4.8819E-09,10,,,,,,,,,26.3854,0.00091698,2.15,26.3858,-0.0009170633,3.42134E-05,1.22793E-08,20,5.1621,0.001092,2.15,5.1622,-0.0010925,1.9162E-05,2.382448E-07,30
2.0069,0.0002860395,2.2,2.0069,-0.0002860573,-1.09407E-05,9.7292E-09,0,,,,,,,,,13.921,0.0006364532,2.2,13.9212,-0.0006365417,4.1106E-06,1.58711E-08,10,,,,,,,,,26.406,0.0009305689,2.2,26.4064,-0.0009306316,-9.064679E-07,1.0106E-08,20,5.1753,0.0011055,2.2,5.1754,-0.0011058,-5.9236E-06,1.940497E-07,30
2.0274,0.0002927422,2.25,2.0274,-0.0002927619,-1.09407E-05,1.18773E-08,0,,,,,,,,,13.9415,0.0006481765,2.25,13.9417,-0.0006484203,1.9162E-05,-3.0332E-09,10,,,,,,,,,26.4339,0.0009435779,2.25,26.4344,-0.0009439226,1.41448E-05,1.61509E-08,20,5.1886,0.0011179,2.25,5.1887,-0.0011183,-5.9236E-06,2.241569E-07,30
2.0478,0.000298933,2.3,2.0478,-0.0002989494,-1.59578E-05,3.661E-09,0,,,,,,,,,13.9695,0.0006585131,2.3,13.9698,-0.0006586596,2.91962E-05,1.43901E-08,10,,,,,,,,,26.4544,0.0009562341,2.3,26.4548,-0.0009565325,-9.064679E-07,1.0988E-09,20,5.2019,0.0011304,2.3,5.2019,-0.0011308,1.9162E-05,2.57323E-07,30
2.0758,0.0003042614,2.35,2.0758,-0.0003042868,-1.59578E-05,1.47698E-08,0,,,,,,,,,13.9901,0.0006697322,2.35,13.9903,-0.0006698825,-5.9236E-06,9.8904E-09,10,,,,,,,,,26.4824,0.0009686128,2.35,26.4828,-0.000968739,4.1106E-06,1.67054E-08,20,5.2151,0.0011425,2.35,5.2152,-0.0011428,1.41448E-05,2.235309E-07,30
2.0963,0.0003107472,2.4,2.0963,-0.0003107619,-1.59578E-05,-4.7305E-09,0,,,,,,,,,14.0106,0.0006802957,2.4,14.0109,-0.0006803992,1.9162E-05,-1.01688E-08,10,,,,,,,,,26.503,0.0009813193,2.4,26.5034,-0.0009815255,-1.59578E-05,8.9901E-09,20,5.2283,0.0011541,2.4,5.2284,-0.0011543,-1.09407E-05,2.306766E-07,30
2.1242,0.0003162899,2.45,2.1242,-0.0003163112,-1.09407E-05,1.2424E-08,0,,,,,,,,,14.0312,0.000690229,2.45,14.0314,-0.0006904872,4.1106E-06,-9.627E-09,10,,,,,,,,,26.5235,0.0009930679,2.45,26.5239,-0.0009933535,-1.59578E-05,-1.09108E-08,20,5.2416,0.0011655,2.45,5.2416,-0.0011658,2.91962E-05,2.001699E-07,30
2.1446,0.0003224883,2.5,2.1446,-0.0003224987,2.41791E-05,1.00059E-08,0,,,,,,,,,14.0517,0.000700011,2.5,14.0519,-0.0007001969,2.91962E-05,9.4983E-09,10,,,,,,,,,26.544,0.0010046,2.5,26.5444,-0.0010049,-1.59578E-05,1.23716E-08,20,5.2549,0.0011762,2.5,5.2549,-0.0011766,4.1106E-06,2.182098E-07,30
2.1651,0.0003288556,2.55,2.1651,-0.0003288678,4.1106E-06,-9.1164E-09,0,,,,,,,,,14.0723,0.0007103729,2.55,14.0725,-0.0007105623,2.41791E-05,1.34354E-08,10,,,,,,,,,26.572,0.0010159,2.55,26.5724,-0.0010162,1.41448E-05,6.5539E-09,20,5.2681,0.0011869,2.55,5.2682,-0.0011873,-3.60263E-05,2.565341E-07,30
2.1855,0.0003339041,2.6,2.1855,-0.0003339076,-5.9236E-06,-1.22068E-08,0,,,,,,,,,14.0928,0.0007201296,2.6,14.093,-0.0007202972,9.1277E-06,4.2896E-09,10,,,,,,,,,26.6,0.0010268,2.6,26.6004,-0.001027,9.1277E-06,1.69367E-08,20,5.2814,0.0011976,2.6,5.2815,-0.001198,-1.09407E-05,2.158788E-07,30
2.2059,0.0003397973,2.65,2.206,-0.0003398202,4.1106E-06,-3.0491E-09,0,,,,,,,,,14.1208,0.0007294074,2.65,14.121,-0.0007295529,-1.09407E-05,1.5951E-08,10,,,,,,,,,26.6205,0.0010378,2.65,26.6209,-0.001038,4.1106E-06,-1.8224E-09,20,5.2946,0.0012077,2.65,5.2947,-0.001208,3.42134E-05,2.203296E-07,30
2.2339,0.0003456174,2.7,2.234,-0.0003456318,4.1106E-06,-1.48446E-08,0,,,,,,,,,14.1413,0.0007390382,2.7,14.1416,-0.0007391869,1.41448E-05,-3.5665E-09,10,,,,,,,,,26.6485,0.0010479,2.7,26.6489,-0.0010482,-1.09407E-05,1.54718E-08,20,5.3079,0.0012176,2.7,5.3079,-0.001218,3.42134E-05,2.070713E-07,30
2.2544,0.0003509861,2.75,2.2544,-0.0003509945,-2.59921E-05,5.1339E-09,0,,,,,,,,,14.1693,0.0007475849,2.75,14.1695,-0.0007478374,2.41791E-05,1.38505E-08,10,,,,,,,,,26.669,0.0010585,2.75,26.6694,-0.0010587,2.41791E-05,1.11974E-08,20,5.3211,0.0012271,2.75,5.3212,-0.0012274,-9.064679E-07,2.124255E-07,30
2.2823,0.0003566448,2.8,2.2824,-0.0003566674,1.41448E-05,-1.21151E-08,0,,,,,,,,,14.1898,0.0007570643,2.8,14.19,-0.000757194,-3.10092E-05,1.07058E-08,10,,,,,,,,,26.6895,0.0010688,2.8,26.6899,-0.001069,2.91962E-05,-8.6221E-09,20,5.3343,0.0012366,2.8,5.3344,-0.0012369,2.41791E-05,2.555391E-07,30
2.3028,0.0003619076,2.85,2.3028,-0.0003619317,-2.59921E-05,-1.03593E-08,0,,,,,,,,,14.2103,0.0007660143,2.85,14.2105,-0.0007663236,-2.09749E-05,-8.8742E-09,10,,,,,,,,,26.71,0.0010782,2.85,26.7104,-0.0010783,-5.9236E-06,-9.0154E-09,20,5.3476,0.0012456,2.85,5.3477,-0.001246,-5.9236E-06,2.126622E-07,30
2.3232,0.0003670368,2.9,2.3233,-0.0003670522,2.41791E-05,8.5308E-09,0,,,,,,,,,14.2308,0.0007738551,2.9,14.231,-0.0007740913,-5.9236E-06,-1.0578E-08,10,,,,,,,,,26.7305,0.0010877,2.9,26.7309,-0.0010879,-5.9236E-06,9.482E-09,20,5.3608,0.0012547,2.9,5.3609,-0.0012551,-1.59578E-05,2.042644E-07,30
2.3437,0.0003727762,2.95,2.3437,-0.0003727982,-2.59921E-05,1.24053E-08,0,,,,,,,,,14.2513,0.0007823009,2.95,14.2515,-0.0007825401,-1.59578E-05,-3.5809E-09,10,,,,,,,,,26.751,0.0010972,2.95,26.7514,-0.0010975,-5.9236E-06,1.50911E-08,20,5.3741,0.0012636,2.95,5.3742,-0.0012639,2.41791E-05,2.116646E-07,30
2.3641,0.0003784626,3,2.3642,-0.0003784939,2.41791E-05,2.518E-09,0,,,,,,,,,14.2793,0.0007910996,3,14.2795,-0.0007912409,-2.09749E-05,-1.35951E-08,10,,,,,,,,,26.7715,0.0011067,3,26.7719,-0.0011069,-2.09749E-05,3.8988E-09,20,5.3874,0.0012724,3,5.3874,-0.0012727,-9.064679E-07,2.094354E-07,30
2.3921,0.0003825806,3.05,2.3922,-0.0003826004,9.1277E-06,1.4827E-08,0,,,,,,,,,14.2998,0.0007987134,3.05,14.3,-0.0007990338,2.41791E-05,4.8787E-09,10,,,,,,,,,26.7995,0.0011155,3.05,26.7999,-0.0011157,2.41791E-05,1.70921E-08,20,5.4006,0.0012804,3.05,5.4007,-0.0012808,9.1277E-06,2.514191E-07,30
2.4126,0.0003881687,3.1,2.4127,-0.00038818,4.1106E-06,-5.4445E-09,0,,,,,,,,,14.3278,0.0008072602,3.1,14.328,-0.000807533,3.42134E-05,-1.23955E-08,10,,,,,,,,,26.82,0.001124,3.1,26.8205,-0.0011242,3.92305E-05,-3.4811E-09,20,5.4139,0.0012887,3.1,5.414,-0.0012891,1.9162E-05,2.109954E-07,30
2.4406,0.0003927179,3.15,2.4406,-0.0003927304,9.1277E-06,1.19192E-08,0,,,,,,,,,14.3484,0.0008142942,3.15,14.3486,-0.000814645,1.9162E-05,1.05903E-08,10,,,,,,,,,26.8481,0.0011321,3.15,26.8485,-0.0011323,4.1106E-06,1.43599E-08,20,5.4271,0.0012967,3.15,5.4272,-0.001297,4.1106E-06,1.893979E-07,30
